"","term","model1_Liver_fat","model1_Liver_inflammation","model1_Liver_fibrosis"
"1","educationLess than high school","0.93 (0.77, 1.12)","1.24 (0.95, 1.60)","1.12 (0.84, 1.51)"
"2","access_healthcareNo","0.86 (0.73, 1.01)","1.28 (1.04, 1.57)","1.11 (0.89, 1.39)"
"3","povertyYes","1.13 (0.95, 1.35)","1.14 (0.93, 1.40)","1.34 (0.99, 1.82)"
"4","viralYes","0.68 (0.38, 1.23)","2.77 (1.82, 4.20)","2.83 (1.64, 4.87)"
"5","bmi2Underweight","0.60 (0.08, 4.22)","1.81 (0.63, 5.15)","1.73 (0.48, 6.27)"
"6","bmi2Overweight","5.28 (3.56, 7.84)","1.39 (1.11, 1.73)","1.07 (0.54, 2.12)"
"7","bmi2Obesity","17.56 (11.30, 27.28)","2.70 (2.06, 3.53)","5.09 (2.74, 9.43)"
"8","diabetesYes","2.53 (2.20, 2.92)","1.64 (1.27, 2.13)","4.73 (3.64, 6.14)"
"9","alcohol_variableFormer drinkers","0.79 (0.59, 1.06)","0.88 (0.49, 1.57)","0.89 (0.50, 1.59)"
"10","alcohol_variableModerate drinkers","0.74 (0.55, 0.99)","0.97 (0.64, 1.48)","0.70 (0.42, 1.15)"
"11","alcohol_variableHeavy drinkers","0.81 (0.50, 1.31)","1.22 (0.74, 2.03)","0.66 (0.29, 1.48)"
